iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Traceback,(most,recent,call,last):,,,,,,,,,
,File,/home/iborg/anaconda2/envs/cellmodeller/lib/python2.7/site-packages/CellModeller/GUI/PyGLCMViewer.py,line,118,in,toggleSavePickles,,,,,,,
,self.sim.setSaveOutput(save),,,,,,,,,,,,
AttributeError:,'NoneType',object,has,no,attribute,'setSaveOutput',,,,,,,
iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Set,up,OpenCL,context:,,,,,,,,,,
,Platform:,NVIDIA,CUDA,,,,,,,,,,
,Device:,GeForce,GTX,TITAN,X,,,,,,,,
Importing,model,StaphAureus,,,,,,,,,,,
,Cells,Contacts,,,,,,,,,,,
,0,1,cells,2,cts,1,iterations,residual,=,0,,,
,,Cells,,Contacts,,Hours,,,,,,,
,380,30637,cells,139597,cts,6,iterations,residual,=,0.608675,,,
,380,30637,cells,139785,cts,5,iterations,residual,=,0.745492,,,
,380,30637,cells,139905,cts,5,iterations,residual,=,0.641343,,,
,380,30637,cells,140006,cts,5,iterations,residual,=,0.68723,,,
,,,,,,,,,,,,,
,390,32284,cells,149015,contacts,0.215388,hour(s),or,12.923266,minute(s),or,775.395935,second(s)
,390,32453,cells,143874,cts,14,iterations,residual,=,0.647457,,,
,390,32453,cells,148474,cts,8,iterations,residual,=,0.81085,,,
,390,32453,cells,149169,cts,6,iterations,residual,=,0.77953,,,
,390,32453,cells,149470,cts,6,iterations,residual,=,0.63544,,,
,390,32453,cells,149653,cts,6,iterations,residual,=,0.596813,,,
,390,32453,cells,149800,cts,5,iterations,residual,=,0.793018,,,
,390,32453,cells,149899,cts,5,iterations,residual,=,0.723346,,,
,400,34084,cells,158582,contacts,0.239401,hour(s),or,14.364044,minute(s),or,861.842651,second(s)
,400,34236,cells,153137,cts,14,iterations,residual,=,0.686168,,,
,400,34236,cells,157895,cts,8,iterations,residual,=,0.852034,,,
,400,34236,cells,158635,cts,7,iterations,residual,=,0.663551,,,
,400,34236,cells,158956,cts,6,iterations,residual,=,0.721247,,,
,400,34236,cells,159173,cts,6,iterations,residual,=,0.62291,,,
,400,34236,cells,159320,cts,6,iterations,residual,=,0.575782,,,
,400,34236,cells,159414,cts,6,iterations,residual,=,0.553869,,,
,410,35857,cells,167791,contacts,0.263837,hour(s),or,15.830235,minute(s),or,949.814087,second(s)
,410,36040,cells,162256,cts,14,iterations,residual,=,0.766376,,,
,410,36040,cells,167107,cts,9,iterations,residual,=,0.708967,,,
,410,36040,cells,167887,cts,7,iterations,residual,=,0.69648,,,
,410,36040,cells,168235,cts,6,iterations,residual,=,0.755519,,,
,410,36040,cells,168457,cts,6,iterations,residual,=,0.619047,,,
,410,36040,cells,168598,cts,6,iterations,residual,=,0.594008,,,
,410,36040,cells,168692,cts,5,iterations,residual,=,0.881426,,,
,420,37572,cells,176905,contacts,0.289594,hour(s),or,17.375653,minute(s),or,1042.539185,second(s)
,420,37739,cells,170970,cts,14,iterations,residual,=,0.889745,,,
,420,37739,cells,176187,cts,9,iterations,residual,=,0.73028,,,
,420,37739,cells,176951,cts,7,iterations,residual,=,0.703112,,,
,420,37739,cells,177315,cts,6,iterations,residual,=,0.796303,,,
,420,37739,cells,177554,cts,6,iterations,residual,=,0.68404,,,
,420,37739,cells,177720,cts,6,iterations,residual,=,0.651744,,,
,420,37739,cells,177826,cts,5,iterations,residual,=,0.933415,,,
,430,39262,cells,185831,contacts,0.318548,hour(s),or,19.112876,minute(s),or,1146.772583,second(s)
,430,39447,cells,179708,cts,14,iterations,residual,=,0.842417,,,
,430,39447,cells,185017,cts,9,iterations,residual,=,0.764189,,,
,430,39447,cells,185824,cts,7,iterations,residual,=,0.733142,,,
,430,39447,cells,186184,cts,6,iterations,residual,=,0.877286,,,
,430,39447,cells,186406,cts,6,iterations,residual,=,0.725682,,,
,430,39447,cells,186552,cts,6,iterations,residual,=,0.707848,,,
,430,39447,cells,186665,cts,5,iterations,residual,=,0.901707,,,
